# chunk_key bias_dv bias_err_stat bias_rms_stat
3_2 0.39432436 0.54465745 0.34321862
3_5 0.84367220 0.07627088 0.38561355
3_6 0.29899952 0.28248043 0.00000000
4_1 -0.00461439 0.12313139 0.42335355
4_4 0.10525716 0.30709187 0.00000000
4_6 0.60632833 0.14425448 0.99268553
4_7 0.56544908 0.22994565 0.00000000
5_1 0.53007385 0.12529058 0.37936756
5_2 1.09551013 0.03674754 0.21246386
5_3 0.87333524 0.02329949 0.32036597
6_3 0.84623514 0.01566491 0.33888739
6_4 0.26194012 0.08033478 0.33160945
6_6 -1.04983376 0.15396412 0.24130638
6_7 0.10240331 0.10631342 0.61545983
7_2 -0.23254617 0.03058619 0.38803303
7_3 0.53077296 0.01393758 0.25229841
7_4 1.15859687 0.03538041 0.38394419
7_5 1.20583133 0.02913243 0.27304948
7_6 1.11108285 0.03699962 0.40781753
7_7 1.12491643 0.23684444 0.00000000
8_0 -0.39234961 0.82611704 0.00789788
8_1 0.48306390 0.02964033 0.25911207
8_2 1.17939762 0.01788520 0.16584644
8_3 1.22694819 0.01876198 0.25246498
8_4 1.14794110 0.01479979 0.14325459
8_5 0.41481444 0.01899296 0.41545676
8_6 0.03731191 0.02966549 0.31678132
8_7 -0.87341790 0.32996042 0.24921522
9_1 -0.71788894 0.03298889 0.37140382
9_2 -0.34942437 0.03051729 0.32664525
9_3 0.79665948 0.01249979 0.22213741
9_4 0.42682147 0.01238156 0.21311708
9_5 0.62113556 0.00996374 0.24815915
9_6 -0.17192449 0.02119188 0.31320504
9_7 -0.59950798 0.03726517 0.33517357
10_0 1.37038850 5.78771519 0.00000000
10_1 -0.83238535 0.05782857 0.58076730
10_2 -0.25465666 0.01201231 0.29449785
10_3 0.09949693 0.01885412 0.30906919
10_4 0.83394138 0.02269665 0.11413891
10_5 0.85581173 0.01801633 0.19504646
10_6 0.88097585 0.03580892 0.18755387
10_7 0.23257478 0.05523130 0.32849343
11_1 -0.44320628 0.03371734 0.57910158
11_2 0.29330942 0.01620205 0.42004374
11_3 0.89072634 0.01213066 0.31140140
11_4 0.84918267 0.01563814 0.27997402
11_5 0.37761247 0.05561473 0.24259439
11_6 0.22974271 0.03467935 0.19569407
11_7 -0.81579702 0.04156250 0.38151554
12_2 -0.58342830 0.01805382 0.32936515
12_3 -0.26661184 0.01348041 0.30157745
12_4 0.59622737 0.01690671 0.33896450
12_5 -0.47706997 0.01285752 0.24018072
12_6 0.16229579 0.01814655 0.36284364
12_7 0.18642950 1.61249316 0.00000000
13_1 -0.98440367 0.05659865 0.33729882
13_2 0.55790951 0.01820798 0.33127224
13_3 0.57283065 0.01110869 0.34053018
13_4 1.26436533 0.01740084 0.20076118
13_5 1.12459837 0.01285790 0.19270749
13_6 1.04080811 0.02149996 0.22638568
14_1 -0.63317610 0.01645118 0.34768787
14_2 0.40509906 0.02673049 0.30204748
14_3 0.75624435 0.01684188 0.41124591
14_4 -0.26356561 0.01491010 0.43270749
14_5 0.39137359 0.01943134 0.35709682
14_6 0.07074234 0.03038792 0.25536940
14_7 -0.44117380 0.07677164 0.40862606
15_1 -1.01938573 0.12184082 0.30924371
15_2 -0.67881550 0.01732264 0.34108496
15_3 -0.21721031 0.01264493 0.24604507
15_4 0.07150965 0.00641453 0.22296934
15_5 0.49651586 0.00829876 0.27437068
15_6 1.09118065 0.01608496 0.23529631
15_7 0.81565197 0.04116086 0.28249689
16_0 -0.80585237 0.96363585 0.12073907
16_1 0.02648993 0.01693690 0.55714741
16_2 0.46859693 0.01399642 0.39788456
16_3 0.26126116 0.00849171 0.28894789
16_4 0.86953444 0.02374335 0.25337604
16_5 0.36320046 0.01778576 0.27414730
16_6 0.08369261 0.01193511 0.32022859
16_7 0.13058099 0.02742695 0.36371786
17_1 -0.99492720 0.02219245 0.26973890
17_2 -0.32554842 0.01216319 0.26727730
17_3 -0.46580683 0.01666513 0.49548747
17_4 -0.04729678 0.01644711 0.48772395
17_5 0.15895272 0.00704556 0.20154712
17_6 0.21740007 0.02115489 0.43912349
17_7 0.04630746 0.02342854 0.26214131
18_0 -0.26613294 3.90211077 0.00000000
18_1 -1.27620726 0.02977492 0.24139896
18_2 -0.15454894 0.01063337 0.34185439
18_3 0.37607651 0.01048537 0.20213444
18_4 -0.08208630 0.01313743 0.46015579
18_5 1.07568229 0.01051640 0.20300813
18_6 0.39278594 0.01889161 0.25193864
18_7 0.71406472 0.03304023 0.27379239
19_0 0.34298304 0.61962057 1.18112346
19_1 -0.70257572 0.01753443 0.35655977
19_2 -0.01357721 0.01122821 0.35937923
19_3 0.24663059 0.00556718 0.23427428
19_4 0.14058129 0.00573405 0.20658931
19_5 -0.02352067 0.00529850 0.18686264
19_6 0.31698357 0.00957131 0.33904688
19_7 -0.33581593 0.01800635 0.36958630
20_0 -1.28618179 0.60975991 0.00000000
20_1 -1.34034990 0.02519964 0.24031974
20_2 -1.06880312 0.00718511 0.19209603
20_3 -0.67954165 0.01043895 0.23488132
20_4 0.69680107 0.00627683 0.20488563
20_5 1.14963020 0.02586569 0.28217976
20_6 0.80115540 0.03036886 0.28679561
20_7 0.27044669 0.01897328 0.35352003
21_0 -1.32403321 0.17582254 0.00000000
21_1 -0.75496841 0.01971316 0.34193301
21_2 -0.31288648 0.00793385 0.17019824
21_3 -0.23464146 0.01314764 0.37553862
21_4 0.43671004 0.00511732 0.17557882
21_5 -0.52532875 0.01036691 0.34457660
21_6 0.17511171 0.00782704 0.22123480
21_7 -0.26074383 0.01828067 0.19478755
22_1 -1.32549709 0.02564942 0.29610944
22_2 -0.91911401 0.01007420 0.25523144
22_3 -0.02785227 0.01264946 0.51054315
22_4 0.19628149 0.01091068 0.38180718
22_5 0.27683365 0.00842697 0.16620186
22_6 0.00936226 0.01335431 0.32849288
22_7 0.53584173 0.01071427 0.18446310
23_0 -1.36771739 0.74655146 0.00000000
23_1 -1.09511252 0.01335013 0.30161386
23_2 0.02645608 0.00814289 0.26127031
23_3 -0.09251613 0.00775138 0.18952662
23_4 0.19221608 0.00650482 0.21449747
23_5 0.14429409 0.00809084 0.26209670
23_6 0.35801052 0.01381338 0.26972617
23_7 -0.75792585 0.01293480 0.21060828
24_1 -1.21459446 0.01867868 0.32404461
24_2 -0.62356620 0.00717083 0.26053049
24_3 -0.56300500 0.00889972 0.28116580
24_4 -0.54597729 0.00892983 0.26008867
24_5 -0.02861595 0.00763647 0.18951830
24_6 0.54363815 0.01650155 0.36880800
24_7 0.12738341 0.03736844 0.38682216
25_1 -0.05379406 0.01772789 0.39035121
25_2 0.12172119 0.01010340 0.23231427
25_3 0.58477874 0.00535549 0.18180067
25_4 0.30654514 0.00946625 0.21813973
25_5 0.03370564 0.00932437 0.29058258
25_6 0.31859426 0.00921750 0.23667831
25_7 -0.23758574 0.01823067 0.32532162
26_1 -1.26426310 0.01568315 0.25953050
26_2 -0.58894876 0.01164897 0.32529466
26_3 -0.43362660 0.00549052 0.17698065
26_4 -0.38214947 0.00551763 0.16972777
26_5 -0.18263308 0.01335016 0.28031072
26_6 -0.09854586 0.01503804 0.40175073
26_7 -0.90485847 0.01737570 0.23910444
27_1 -0.94849584 0.01448917 0.30739965
27_2 -0.41857330 0.01318207 0.23348225
27_3 0.44841223 0.00989256 0.27742418
27_4 0.90691013 0.01575052 0.17658716
27_5 0.35721391 0.01121536 0.27321416
27_6 0.77237775 0.00925625 0.15439647
27_7 -0.16773484 0.01450967 0.19442530
28_1 -0.87581495 0.01730423 0.28446442
28_2 -0.65044216 0.00954410 0.19518225
28_3 -0.60367309 0.00686664 0.18523661
28_4 0.40877484 0.01784704 0.73024838
28_5 0.17959283 0.00806436 0.38080967
28_6 -0.07406282 0.01429372 0.43969654
28_7 0.07940566 0.01159308 0.24258112
29_0 -0.81375616 0.03873476 0.29061858
29_1 -0.60578790 0.01807518 0.60566610
29_2 -0.14008448 0.01024985 0.31884613
29_3 0.27137853 0.00466207 0.16391228
29_4 0.46283259 0.00585363 0.25062953
29_5 -0.03075416 0.00793874 0.27988780
29_6 0.14830189 0.00930096 0.25467864
29_7 -0.01898734 0.01116052 0.18109600
30_1 -1.31118108 0.01056388 0.17748851
30_2 -0.42818955 0.01457114 0.45717681
30_3 -0.18562607 0.00885175 0.31047250
30_4 0.24726477 0.00979412 0.38213340
30_5 -0.41439087 0.01027344 0.49396396
30_6 -0.33383145 0.00651789 0.20269012
30_7 0.10100698 0.01213435 0.28744120
31_1 -1.04973753 0.01510484 0.32212121
31_2 -0.30198613 0.00766599 0.26425066
31_3 0.48845343 0.00594153 0.21653057
31_4 0.21850358 0.00631365 0.17520318
31_5 0.56024788 0.03773864 0.70337331
31_6 0.17441136 0.00701675 0.22097740
31_7 -0.05684748 0.03152759 0.34235209
32_0 -0.96867946 0.21355426 0.25365945
32_1 -1.09072387 0.01984091 0.31088370
32_2 -0.38731080 0.02586889 0.31133267
32_3 -0.53235515 0.00894349 0.19143231
32_4 -0.18299998 0.01595220 0.21004410
32_5 -0.14467024 0.01903244 0.19603114
32_6 0.40820954 0.02730946 0.32437574
32_7 -0.01600851 0.03885957 0.51238906
33_1 -0.48418168 0.07763905 0.42358648
33_2 -0.17773857 0.00993516 0.20896684
33_3 0.39087892 0.01742484 0.12696972
33_4 0.64802030 0.01065354 0.33237798
33_5 0.29055371 0.00834246 0.30137303
33_6 -0.28267608 0.00768128 0.22548590
33_7 0.18659661 0.02671267 0.23426048
34_0 -1.25192030 0.20110033 0.16579607
34_1 -1.01622721 0.02419207 0.32596183
34_2 -0.12383410 0.00905389 0.37989966
34_3 -0.06809673 0.01607290 0.31879774
34_4 0.18207695 0.00988257 0.38747934
34_5 0.98080536 0.01405608 0.26733478
34_6 0.87445320 0.01063112 0.30379974
