reference_key,reference_title,reference_arxiv,reference_url,reference_table,obs_index,gaia_dr3_id,name,bjd,rv_kms,rv_err_kms,instrument,spectral_resolution_R,snr_per_pixel,P_orb_days,P_orb_err,M_star_msun,M_star_err,M2_msun,M2_err,eccentricity,eccentricity_err,parallax_mas,parallax_err_mas,G_mag,N_rvs_table1
ElBadry2024_NS_population,A population of neutron star candidates in wide orbits from Gaia astrometry,2405.00089v2,https://arxiv.org/abs/2405.00089v2,Table 5 (all_ns_rvs.txt),1,2995961897685517312,J0553-1349,2459822.8517,39.13,0.11,FEROS,,,189.10,0.05,0.98,0.06,1.33,0.05,0.3879,0.0007,2.505,0.015,13.00,20
ElBadry2024_NS_population,A population of neutron star candidates in wide orbits from Gaia astrometry,2405.00089v2,https://arxiv.org/abs/2405.00089v2,Table 5 (all_ns_rvs.txt),2,2995961897685517312,J0553-1349,2459891.9150,56.43,0.03,TRES,,,189.10,0.05,0.98,0.06,1.33,0.05,0.3879,0.0007,2.505,0.015,13.00,20
ElBadry2024_NS_population,A population of neutron star candidates in wide orbits from Gaia astrometry,2405.00089v2,https://arxiv.org/abs/2405.00089v2,Table 5 (all_ns_rvs.txt),3,2995961897685517312,J0553-1349,2459913.9359,54.72,0.05,TRES,,,189.10,0.05,0.98,0.06,1.33,0.05,0.3879,0.0007,2.505,0.015,13.00,20
ElBadry2024_NS_population,A population of neutron star candidates in wide orbits from Gaia astrometry,2405.00089v2,https://arxiv.org/abs/2405.00089v2,Table 5 (all_ns_rvs.txt),4,2995961897685517312,J0553-1349,2459915.6211,54.37,0.04,FEROS,,,189.10,0.05,0.98,0.06,1.33,0.05,0.3879,0.0007,2.505,0.015,13.00,20
ElBadry2024_NS_population,A population of neutron star candidates in wide orbits from Gaia astrometry,2405.00089v2,https://arxiv.org/abs/2405.00089v2,Table 5 (all_ns_rvs.txt),5,2995961897685517312,J0553-1349,2459919.7038,53.35,0.04,FEROS,,,189.10,0.05,0.98,0.06,1.33,0.05,0.3879,0.0007,2.505,0.015,13.00,20
ElBadry2024_NS_population,A population of neutron star candidates in wide orbits from Gaia astrometry,2405.00089v2,https://arxiv.org/abs/2405.00089v2,Table 5 (all_ns_rvs.txt),6,2995961897685517312,J0553-1349,2459928.8778,50.22,1.00,PEPSI,,,189.10,0.05,0.98,0.06,1.33,0.05,0.3879,0.0007,2.505,0.015,13.00,20
ElBadry2024_NS_population,A population of neutron star candidates in wide orbits from Gaia astrometry,2405.00089v2,https://arxiv.org/abs/2405.00089v2,Table 5 (all_ns_rvs.txt),7,2995961897685517312,J0553-1349,2459939.8631,43.46,0.04,TRES,,,189.10,0.05,0.98,0.06,1.33,0.05,0.3879,0.0007,2.505,0.015,13.00,20
ElBadry2024_NS_population,A population of neutron star candidates in wide orbits from Gaia astrometry,2405.00089v2,https://arxiv.org/abs/2405.00089v2,Table 5 (all_ns_rvs.txt),8,2995961897685517312,J0553-1349,2459973.6911,7.49,0.03,TRES,,,189.10,0.05,0.98,0.06,1.33,0.05,0.3879,0.0007,2.505,0.015,13.00,20
ElBadry2024_NS_population,A population of neutron star candidates in wide orbits from Gaia astrometry,2405.00089v2,https://arxiv.org/abs/2405.00089v2,Table 5 (all_ns_rvs.txt),9,2995961897685517312,J0553-1349,2460013.6884,40.24,0.03,TRES,,,189.10,0.05,0.98,0.06,1.33,0.05,0.3879,0.0007,2.505,0.015,13.00,20
ElBadry2024_NS_population,A population of neutron star candidates in wide orbits from Gaia astrometry,2405.00089v2,https://arxiv.org/abs/2405.00089v2,Table 5 (all_ns_rvs.txt),10,2995961897685517312,J0553-1349,2460019.5421,43.29,0.04,FEROS,,,189.10,0.05,0.98,0.06,1.33,0.05,0.3879,0.0007,2.505,0.015,13.00,20
ElBadry2024_NS_population,A population of neutron star candidates in wide orbits from Gaia astrometry,2405.00089v2,https://arxiv.org/abs/2405.00089v2,Table 5 (all_ns_rvs.txt),11,2995961897685517312,J0553-1349,2460038.5227,50.55,0.50,MIKE,,,189.10,0.05,0.98,0.06,1.33,0.05,0.3879,0.0007,2.505,0.015,13.00,20
ElBadry2024_NS_population,A population of neutron star candidates in wide orbits from Gaia astrometry,2405.00089v2,https://arxiv.org/abs/2405.00089v2,Table 5 (all_ns_rvs.txt),12,2995961897685517312,J0553-1349,2460053.4888,53.88,0.06,FEROS,,,189.10,0.05,0.98,0.06,1.33,0.05,0.3879,0.0007,2.505,0.015,13.00,20
ElBadry2024_NS_population,A population of neutron star candidates in wide orbits from Gaia astrometry,2405.00089v2,https://arxiv.org/abs/2405.00089v2,Table 5 (all_ns_rvs.txt),13,2995961897685517312,J0553-1349,2460054.5185,54.08,0.04,FEROS,,,189.10,0.05,0.98,0.06,1.33,0.05,0.3879,0.0007,2.505,0.015,13.00,20
ElBadry2024_NS_population,A population of neutron star candidates in wide orbits from Gaia astrometry,2405.00089v2,https://arxiv.org/abs/2405.00089v2,Table 5 (all_ns_rvs.txt),14,2995961897685517312,J0553-1349,2460187.8882,29.48,0.04,FEROS,,,189.10,0.05,0.98,0.06,1.33,0.05,0.3879,0.0007,2.505,0.015,13.00,20
ElBadry2024_NS_population,A population of neutron star candidates in wide orbits from Gaia astrometry,2405.00089v2,https://arxiv.org/abs/2405.00089v2,Table 5 (all_ns_rvs.txt),15,2995961897685517312,J0553-1349,2460225.7851,49.87,0.03,FEROS,,,189.10,0.05,0.98,0.06,1.33,0.05,0.3879,0.0007,2.505,0.015,13.00,20
ElBadry2024_NS_population,A population of neutron star candidates in wide orbits from Gaia astrometry,2405.00089v2,https://arxiv.org/abs/2405.00089v2,Table 5 (all_ns_rvs.txt),16,2995961897685517312,J0553-1349,2460236.9731,52.81,0.03,TRES,,,189.10,0.05,0.98,0.06,1.33,0.05,0.3879,0.0007,2.505,0.015,13.00,20
ElBadry2024_NS_population,A population of neutron star candidates in wide orbits from Gaia astrometry,2405.00089v2,https://arxiv.org/abs/2405.00089v2,Table 5 (all_ns_rvs.txt),17,2995961897685517312,J0553-1349,2460256.9310,55.81,0.03,TRES,,,189.10,0.05,0.98,0.06,1.33,0.05,0.3879,0.0007,2.505,0.015,13.00,20
ElBadry2024_NS_population,A population of neutron star candidates in wide orbits from Gaia astrometry,2405.00089v2,https://arxiv.org/abs/2405.00089v2,Table 5 (all_ns_rvs.txt),18,2995961897685517312,J0553-1349,2460283.8057,56.01,0.03,TRES,,,189.10,0.05,0.98,0.06,1.33,0.05,0.3879,0.0007,2.505,0.015,13.00,20
ElBadry2024_NS_population,A population of neutron star candidates in wide orbits from Gaia astrometry,2405.00089v2,https://arxiv.org/abs/2405.00089v2,Table 5 (all_ns_rvs.txt),19,2995961897685517312,J0553-1349,2460299.8155,52.84,0.03,TRES,,,189.10,0.05,0.98,0.06,1.33,0.05,0.3879,0.0007,2.505,0.015,13.00,20
ElBadry2024_NS_population,A population of neutron star candidates in wide orbits from Gaia astrometry,2405.00089v2,https://arxiv.org/abs/2405.00089v2,Table 5 (all_ns_rvs.txt),20,2995961897685517312,J0553-1349,2460326.7433,35.01,0.02,TRES,,,189.10,0.05,0.98,0.06,1.33,0.05,0.3879,0.0007,2.505,0.015,13.00,20
ElBadry2024_NS_population,A population of neutron star candidates in wide orbits from Gaia astrometry,2405.00089v2,https://arxiv.org/abs/2405.00089v2,Table 5 (all_ns_rvs.txt),21,6481502062263141504,J2057-4742,2459824.7318,-19.59,0.09,FEROS,,,230.15,0.07,1.048,0.031,1.31,0.04,0.3095,0.0026,1.745,0.019,13.58,11
ElBadry2024_NS_population,A population of neutron star candidates in wide orbits from Gaia astrometry,2405.00089v2,https://arxiv.org/abs/2405.00089v2,Table 5 (all_ns_rvs.txt),22,6481502062263141504,J2057-4742,2459905.5907,9.24,0.06,FEROS,,,230.15,0.07,1.048,0.031,1.31,0.04,0.3095,0.0026,1.745,0.019,13.58,11
ElBadry2024_NS_population,A population of neutron star candidates in wide orbits from Gaia astrometry,2405.00089v2,https://arxiv.org/abs/2405.00089v2,Table 5 (all_ns_rvs.txt),23,6481502062263141504,J2057-4742,2460027.8818,-19.72,0.05,FEROS,,,230.15,0.07,1.048,0.031,1.31,0.04,0.3095,0.0026,1.745,0.019,13.58,11
ElBadry2024_NS_population,A population of neutron star candidates in wide orbits from Gaia astrometry,2405.00089v2,https://arxiv.org/abs/2405.00089v2,Table 5 (all_ns_rvs.txt),24,6481502062263141504,J2057-4742,2460038.8892,-20.08,0.50,MIKE,,,230.15,0.07,1.048,0.031,1.31,0.04,0.3095,0.0026,1.745,0.019,13.58,11
ElBadry2024_NS_population,A population of neutron star candidates in wide orbits from Gaia astrometry,2405.00089v2,https://arxiv.org/abs/2405.00089v2,Table 5 (all_ns_rvs.txt),25,6481502062263141504,J2057-4742,2460072.8557,-17.43,0.05,FEROS,,,230.15,0.07,1.048,0.031,1.31,0.04,0.3095,0.0026,1.745,0.019,13.58,11
ElBadry2024_NS_population,A population of neutron star candidates in wide orbits from Gaia astrometry,2405.00089v2,https://arxiv.org/abs/2405.00089v2,Table 5 (all_ns_rvs.txt),26,6481502062263141504,J2057-4742,2460088.8618,-14.05,0.06,FEROS,,,230.15,0.07,1.048,0.031,1.31,0.04,0.3095,0.0026,1.745,0.019,13.58,11
